BSNL SSA,DISTRICT,LOCATION,PS/HO,PHASE,Router,VoIP,Video Conference,Primary Link,Secondary Link,DATE,Landline No.,STATUS,USER-ID,STATIC-IP,
DHN,Bokaro,I.E.L,PS,2,1900+800,Yes,Yes,RF-AIRTEL,,21.12.2018,,Commissioned,dhn_6544230001@jkd.cctns.in,10.11.88.24,
DHN,Bokaro,B.S City,PS,1,800,Yes,Yes,LL/ 2 Mbps,,01-04-13,06542-224027,Commissioned,dhn_6542224027@jkd.cctns.in,10.17.150.7,
DHN,Bokaro,Chas (M)  ,PS,2,1900+800,Yes,Yes,RF-AIRTEL,,15-10-18,,Commissioned,dhn_6542244925@jkd.cctns.in,10.11.88.214,
DHN,Bokaro,Siyaljori  P.S,PS,2,1900,Yes,Yes,RF-AIRTEL,,22-10-18,,Commissioned,,,
DHN,Bokaro,Pindrajora  ,PS,2,1900+800,Yes,Yes,RF-AIRTEL,Bharatnet,10-04-18,,Commissioned,dhn_6542244924@jkd.cctns.in,10.11.88.213,
DHN,Bokaro,Penk- Narainpur ,PS,2,,No,No,VPNODongal-JIO,,,,Commissioned,,,
DHN,Bokaro,Chatrochati ,PS,2,,No,No,VPNODongal-JIO,,,,Commissioned,,,
DHN,Bokaro,Jagashwar Bihar ,PS,2,,No,No,VPNODongal-JIO,,,,Commissioned,,,
DHN,Bokaro,Mahuatand  ,PS,2,1900+800,Yes,Yes,VPNODongal-JIO,,,,Commissioned,dhn_6544230002@jkd.cctns.in,10.11.88.60,
DHN,Bokaro,Sector IV,PS,2,800,Yes,Yes,LL/ 2 Mbps,,12-10-13,06542-231131,Commissioned,dhn_6542231131@jkd.cctns.in,10.17.150.86,
DHN,Bokaro,Harla (IX),PS,2,800,Yes,Yes,LL/ 2 Mbps,,12-10-13,06542-265143,Commissioned,dhn_6542262630@jkd.cctns.in,10.17.150.85,
DHN,Bokaro,Balidih ,PS,2,1900+800,Yes,No,LL/ 2 Mbps,,15-06-16,,Commissioned,,,
DHN,Bokaro,Chas  ,PS,2,800,Yes,Yes,LL/ 2 Mbps,,13-12-13,06542-265143,Commissioned,dhn_6542265143@jkd.cctns.in,10.17.150.89,
DHN,Bokaro,Sector XII,PS,2,800,Yes,No,LL/ 2 Mbps,,26-05-16,,Commissioned,,,
DHN,Bokaro,Sector VI,PS,2,800,Yes,No,LL/ 2 Mbps,,26-05-16,,Commissioned,,,
DHN,Bokaro,Rail,PS,2,1900+800,Yes,Yes,LL/ 2 Mbps,,15-06-16,,Commissioned,,,
DHN,Bokaro,Mahila & Child Protection PS,PS,2,,No,No,VPNODongal-JIO,,,,Commissioned,,,
DHN,Bokaro,Mahila & Child Protection PS Bermo,PS,2,,No,No,VPNODongal-JIO,,2.4.2019,,Commissioned,,,
DHN,Bokaro,Mahila Chas,PS,2,,No,No,P2P/UTP,,2.4.2019,,Commissioned,,,
DHN,Bokaro,SC/ST PS,PS,2,,No,No,P2P/UTP,,2.4.2019,,Commissioned,,,
JSR,Chaibasa,Hatgamharia   ,PS,2,1900,No,Yes,VPNoBB,VPNODongal-JIO,15-04-13,06589-233313,Commissioned,cctns_6589233313@jkd.cctns.in,10.13.99.10,
JSR,Chaibasa,Kiriburu    ,PS,2,1900,No,No,VPNoBB,VPNODongal-JIO,20-04-13,06596-244066,Commissioned,cctns_6596244066@jkd.cctns.in,10.13.99.11,
JSR,Chaibasa,Manoharpur    ,PS,2,1900,No,No,VPNoBB,VPNODongal-JIO,23-05-13,06593-232021,Commissioned,cctns_6593232021@jkd.cctns.in,10.13.99.35,
JSR,Chaibasa,Goilkera    ,PS,2,1900,Yes,No,VPNODongal-JIO,,22-08-13,06593-224220,Commissioned,cctns_6593224220@jkd.cctns.in,10.13.99.42,
JSR,Chaibasa,Sonua    ,PS,2,1900,No,No,VPNoBB,VPNODongal-JIO,25-05-13,06587-227220,Commissioned,cctns_6587277220@jkd.cctns.in,10.13.99.34,
JSR,Chaibasa,Manjhari   ,PS,2,1900,Yes,Yes,RF-AIRTEL,VPNODongal-JIO,10-10-18,,Commissioned,cctns_6582293837@jkd.cctns.in,10.11.88.219,
JSR,Chaibasa,Nowamundi     ,PS,2,1900,Yes,No,RF-AIRTEL,VPNODongal-JIO,10-05-18,,Commissioned,cctns_6596293838@jkd.cctns.in,10.11.88.217,
JSR,Chaibasa,Gua    ,PS,2,1900,No,No,VPNoBB,VPNODongal-JIO,05-09-13,06596-263002,Commissioned,cctns_6596263002@jkd.cctns.in,10.13.99.29,
JSR,Chaibasa,Kumardungi ,PS,2,1900,Yes,Yes,RF-AIRTEL,VPNODongal-JIO,10-10-18,,Commissioned,cctns_6588293840@jkd.cctns.in,10.11.88.220,
JSR,Chaibasa,Chaibasa Sadar P.S,PS,1,1900+800,Yes,Yes,LL/ 2 Mbps,VPNODongal-JIO,31-12-12,06582-256043,Commissioned,cctns_6582256043@jkd.cctns.in,10.13.99.7,
JSR,Chaibasa,Bandgaon     ,PS,2,1900,Yes,No,VPNODongal-JIO,,26-12-13,06587-255255,Commissioned,cctns_6587255255@jkd.cctns.in,10.13.99.64,
JSR,Chaibasa,Karaikala     ,PS,2,1900,No,No,VPNODongal-JIO,,12.3.2019,,Commissioned,,,
JSR,Chaibasa,Jatea  ,PS,2,800,Yes,No,RF-AIRTEL,VPNODongal-JIO,10-05-18,,Commissioned,,,
JSR,Chaibasa,Anandpur    ,PS,2,800,Yes,No,RF-AIRTEL,VPNODongal-JIO,,,Commissioned,,,
JSR,Chaibasa,Jaraikela,PS,2,1900,Yes,No,VPNODongal-JIO,,9.3.2019,,Commissioned,,,
JSR,Chaibasa,Manjhagaon   ,PS,2,1900,Yes,Yes,RF-AIRTEL,VPNODongal-JIO,10-10-18,06588-293826,Commissioned,cctns_6588293826@jkd.cctns.in,10.11.88.10,
JSR,Chaibasa,Jagannathpur    ,PS,2,1900+800,Yes,Yes,RF-AIRTEL,VPNODongal-JIO,30-10-18,,Commissioned,cctns_6588293827@jkd.cctns.in,10.8.198.65,
JSR,Chaibasa,Toklo    ,PS,2,1900,Yes,No,VPNODongal-JIO,,5.3.2019,,Commissioned,,,
JSR,Chaibasa,Chotanagara  ,PS,2,1900,Yes,No,VPNODongal-JIO,,12.3.219,,Commissioned,,,
JSR,Chaibasa,Tonto   ,PS,2,1900,Yes,Yes,RF-AIRTEL,VPNODongal-JIO,10-11-18,,Commissioned,,,
JSR,Chaibasa,"Rail, Chakradharpur",PS,2,1900,Yes,No,LL/ 2 Mbps,,20-12-13,06587-238134,Commissioned,cctns_6587238134@jkd.cctns.in,10.13.99.26,
JSR,Chaibasa,Muffasil  ,PS,2,1900+800,Yes,Yes,LL/ 2 Mbps,VPNODongal-JIO,16-12-13,06582-255429,Commissioned,cctns_6582255429@jkd.cctns.in,10.13.99.59,
JSR,Chaibasa,Jhikpani ,PS,2,1900,Yes,Yes,RF-AIRTEL,VPNODongal-JIO,24-10-18,,Commissioned,,,
JSR,Chaibasa,Chakradharpur,PS,2,1900,Yes,Yes,LL/ 2 Mbps,VPNODongal-JIO,24-11-16,,Commissioned,,,
JSR,Chaibasa,Mahila,PS,2,,No,No,P2P/UTP,VPNODongal-JIO,,,Commissioned,,,
JSR,Chaibasa,Dangoaposi Rail,PS,2,1900,No,No,VPNODongal-JIO,,26.3.2019,,Commissioned,,,
JSR,Chaibasa,SC/ST PS,PS,2,,No,No,P2P/UTP,,2.3.2019,,Commissioned,,,
JSR,Chaibasa,Mahila Chakradharpur,PS,2,,No,No,P2P/UTP,,2.3.2019,,Commissioned,,,
JSR,Chaibasa,Mahila Kiriburu,PS,2,,No,No,P2P/UTP,,29.3.2019,,Commissioned,,,
JSR,Chaibasa,AHTU,PS,2,,No,No,P2P/UTP,,1.04.2019,,Commissioned,,,
HZB,Chatra,Pratappur ,PS,2,1900+800,No,No,VPNoBB,,22-04-13,06550-265617,Commissioned,vpn_ptp_ps@jkd.cctns.in,10.123.224.143,
HZB,Chatra,Simariya,PS,2,1900,No,No,VPNoBB,,20-04-13,06559-233202,Commissioned,vpn_smr_ps@jkd.cctns.in,10.123.224.144,
HZB,Chatra,Hunterganj  ,PS,2,1900,No,No,VPNoBB,VPNODongal-JIO,24-04-13,06550-255308,Commissioned,vpn_hun_ps@jkd.cctns.in,10.123.224.145,
HZB,Chatra,Tandwa ,PS,2,1900,No,No,VPNoBB,VPNoDongle - Airtel,20-04-13,06559-244288,Commissioned,vpn_tdw_ps@jkd.cctns.in,10.123.224.146,
HZB,Chatra,Gidhor ,PS,2,1900+800,No,No,VPNODongal-JIO,,05-06-13,06541-264005,Commissioned,vpn_gdr_ps@jkd.cctns.in,10.123.224.147,
HZB,Chatra,Kunda ,PS,2,1900,No,No,VPNODongal-JIO,,22.3.2019,,Commissioned,,,
HZB,Chatra,Pathalgadda,PS,2,1900+800,Yes,No,RF-Airtel,,26-11-18,,Commissioned,wimaxvpn_pathalgada@jkd.cctns.in ,10.8.198.67,
HZB,Chatra,Bashishtnagar ,PS,2,1900+800,Yes,Yes,RF-Airtel,,25-10-18,,Commissioned,wimax_bashishtnagar@jkd.cctns.in,10.11.88.116,
HZB,Chatra,Lawaloung ,PS,2,1900+800,Yes,Yes,RF-Airtel,,21-11-18,,Commissioned,wimaxvpn_lawalong@jkd.cctns.in ,10.11.88.117,
HZB,Chatra,Rajpur ,PS,2,1900,No,No,Not Feasible,,,,Not Feasible,,,
HZB,Chatra,Chatra Sadar P.S,PS,1,1900+800,Yes,Yes,LL/ 2 Mbps,,01-03-13,06541-223007,Commissioned,cha_ps@jkd.cctns.in,,
HZB,Chatra,Mahila ,PS,2,,No,No,P2P/UTP,VPNODongal-JIO,15.3.2019,,Commissioned,,,
HZB,Chatra,Mayurhand,PS,2,1900,Yes,No,RF-Airtel,,25-10-18,,Commissioned,Wimaxvpn_mayurhand@jkd.cctns.in,10.11.92.18,
HZB,Chatra,Piparwar  ,PS,2,1900,Yes,Yes,RF-Airtel,,23-11-18,,Commissioned,,,
HZB,Chatra,Itkhori  ,PS,2,1900,No,No,VPNoDongle - AIRTEL,,27.3.2019,,Commissioned,,,
DMK,Deoghar,Deoghar Nagar P.S ,PS,1,1900,Yes,Yes,LL/ 2 Mbps,,01-05-13,06432-223058,Commissioned,deo_tb_sb@jkd.cctns.in,10.17.150.15,
DMK,Deoghar,Sarwan ,PS,2,1900+800,No,No,VPNoBB,VPNODongal-JIO,05-11-13,06432-288253,Commissioned,id6432288253_vpn@jkd.cctns.in,10.17.150.103,
DMK,Deoghar,Karoun  ,PS,2,1900,Yes,Yes,RF-AIRTEL,,10-09-18,,Commissioned,,,
DMK,Deoghar,Jasidih Rail,PS,2,1900,No,No,VPNoBB,VPNODongal-JIO,21-05-13,06432-270133,Commissioned,id6432270133_vpn@jkd.cctns.in ,10.17.150.105,
DMK,Deoghar,Madhupur Rail,PS,2,1900+800,No,No,VPNODongal-JIO,,24-05-13,06438-229001,Commissioned,id6438229001_vpn@jkd.cctns.in ,10.11.88.235,
DMK,Deoghar,Kunda  ,PS,2,1900+800,Yes,Yes,RF-AIRTEL,,17-05-13,10-08-18,Commissioned,id6432229001_vpn@jkd.cctns.in ,10.11.88.230,
DMK,Deoghar,Palajori  ,PS,2,1900+800,Yes,No,RF-AIRTEL,,10-08-18,,Commissioned,id6438229007_vpn@jkd.cctns.in,10.11.88.251,
DMK,Deoghar,Chitra ,PS,2,1900+800,Yes,Yes,RF-AIRTEL,Bharatnet,10-08-18,,Commissioned,id6438229005_vpn@jkd.cctns.in,10.11.88.249,
DMK,Deoghar,Devipur,PS,2,1900+800,Yes,Yes,RF-AIRTEL,,24-10-18,,Commissioned,id6432229002_vpn@jkd.cctns.in ,10.11.88.231,
DMK,Deoghar,Sonarai  Thari  ,PS,2,1900+800,Yes,Yes,RF-AIRTEL,Bharatnet,25-10-18,,Commissioned,id6432229003_vpn@jkd.cctns.in ,10.11.88.232,
DMK,Deoghar,Margomunda,PS,2,1900,Yes,Yes,RF-AIRTEL,,25.12.2018,,Commissioned,,,
DMK,Deoghar,Jasidih  ,PS,2,1900,Yes,No,RF-AIRTEL,,10-08-18,,Commissioned,,,
DMK,Deoghar,Mohanpur  ,PS,2,1900,Yes,Yes,RF-Airtel,Bharatnet,24-10-18,,Commissioned,,,
DMK,Deoghar,Baidhnathdham Mandir,PS,2,1900,No,Yes,VPNODongal-JIO,,12.2.2019,,Commissioned,,,
DMK,Deoghar,Madhupur  ,PS,2,1900+800,Yes,No,LL/ 2 Mbps,VPNODongal-JIO,27-05-16,,Commissioned,,,
DMK,Deoghar,Sarath PS,PS,2,1900,Yes,Yes,LL/ 2 Mbps,,07-04-16,,Commissioned,,,
DMK,Deoghar,Mahila Deoghar,PS,,,No,No,P2P/UTP,,6.3.2019,,Commissioned,,,
DMK,Deoghar,SC/ST PS,PS,,,No,No,P2P/UTP,,6.3.2019,,Commissioned,,,
DMK,Deoghar,Mahila Madhupur,PS,,,No,No,P2P/UTP,,6.3.2019,,Commissioned,,,
DMK,Deoghar,Rikhiya,PS,,,No,No,VPNODongal-JIO,,25.3.2019,,Commissioned,,,
DMK,Deoghar,Cyber PS,PS,,,No,No,VPNODongal-JIO,,22.3.2019,,Commissioned,,,
DMK,Deoghar,Khaga PS,PS,2,,No,No,Not Feasible,,,,Not Feasible,,,
DMK,Deoghar,Budhai PS,PS,2,,No,No,Not Feasible,,,,Not Feasible,,,
DMK,Deoghar,Pathruol PS,PS,2,,No,No,Not Feasible,,,,Not Feasible,,,
DHN,Dhanbad,Dhanbad Nagar P.S,PS,1,800,Yes,Yes,P2P/UTP,,24-05-16,0326-2220012,Commissioned,dhn_3262220012@jkd.cctns.in,10.17.150.6,
DHN,Dhanbad,Rail,PS,1,1900+800,Yes,No,LL/ 2 Mbps,,24-05-16,0326-2220009,Commissioned,dhn_3262220009@jkd.cctns.in,10.17.150.5,
DHN,Dhanbad,Baghmara   ,PS,2,1900,No,Yes,VPNoBB,,13-04-13,0326-2428100,Commissioned,dhn_3262428100@jkd.cctns.in,10.17.150.1,
DHN,Dhanbad,Madhuban  ,PS,2,1900+800,No,Yes,VPNoBB,,15-04-13,0326-2392100,Commissioned,dhn_3262392100@jkd.cctns.in,10.17.150.14,
DHN,Dhanbad,Baliapur  ,PS,2,1900,No,Yes,VPNoBB,,18-04-13,0326-2431231,Commissioned,dhn_3262341231@jkd.cctns.in,10.17.150.11,
DHN,Dhanbad,Rajganj  ,PS,2,1900+800,No,Yes,VPNoBB,,04-11-13,0326-2272522,Commissioned,dhn_3262272522@jkd.cctns.in,10.17.150.37,
DHN,Dhanbad,Topchanchi  ,PS,2,1900,No,Yes,VPNoBB,,04-11-13,0326-2482428,Commissioned,dhn_3262482428@jkd.cctns.in,10.17.150.36,
DHN,Dhanbad,Nirsa  ,PS,2,1900,No,Yes,VPNoBB,,26-04-13,06540-275020,Commissioned,dhn_6540275020@jkd.cctns.in,10.17.150.63,
DHN,Dhanbad,Hariharpur  ,PS,2,1900,No,Yes,VPNoBB,,04-11-13,0326-2473259,Commissioned,dhn_3262473259@jkd.cctns.in,10.17.150.35,
DHN,Dhanbad,Loyabad ,PS,2,,No,Yes,VPNoBB,,04-10-13,0326-2334145,Commissioned,dhn_3262334145@jkd.cctns.in,10.17.150.33,
DHN,Dhanbad,Sudamdih  ,PS,2,1900,No,Yes,VPNoBB,,04-10-13,0326-2385032,Commissioned,dhn_3262385032@jkd.cctns.in,10.17.150.12,
DHN,Dhanbad,Mahuda  ,PS,2,1900+800,No,Yes,VPNoBB,,13-04-13,0326-2271678,Commissioned,dhn_3262271678@jkd.cctns.in,10.17.150.31,
DHN,Dhanbad,Jharia  ,PS,2,,No,Yes,VPNoBB,,04-06-13,0326-2360901,Commissioned,dhn_3262360901@jkd.cctns.in,10.17.150.10,
DHN,Dhanbad,Tisra   ,PS,2,1900,No,Yes,VPNoBB,,04-06-13,0326-2290099,Commissioned,dhn_3262290099@jkd.cctns.in,10.17.150.9,
DHN,Dhanbad,Gomo Rail,PS,2,1900,No,Yes,VPNoBB,,06-12-13,0326-2473261,Commissioned,dhn_3262473261@jkd.cctns.in,10.17.150.79,
DHN,Dhanbad,Patherdih Rail,PS,2,1900,No,Yes,VPNoBB,,22-06-13,,Commissioned,,,
DHN,Dhanbad,"Katrasgarh Rail, Dhanbad",PS,2,1900+800,No,Yes,VPNoBB,,06-01-13,0326-2373101,Commissioned,dhn_2373101@jkd.cctns.in,10.17.150.78,
DHN,Dhanbad,Kusunda Rail,PS,2,1900+800,No,Yes,VPNODongal-JIO,,08-01-13,,Commissioned,dhn_3262297003@jkd.cctns.in,10.11.88.245,
DHN,Dhanbad,Chirkunda  ,PS,2,1900,No,Yes,VPNoBB,,05-08-13,06540-270127,Commissioned,dhn_6540270127@jkd.cctns.in,10.17.150.67,
DHN,Dhanbad,Tundi  ,PS,2,1900+800,No,Yes,VPNoBB,,20-05-13,06540-2282260,Commissioned,dhn_3262282260@jkd.cctns.in,10.17.150.38,
DHN,Dhanbad,Tetulmari  ,PS,2,,No,Yes,VPNODongal-JIO,,26.3.2019,,Commissioned,dhn_3262297001@jkd.cctns.in,10.17.150.66,
DHN,Dhanbad,Barora,PS,2,1900+800,Yes,Yes,LL/ 2 Mbps,,06-12-13,,Commissioned,dhn_3262297002@jkd.cctns.in,10.11.88.211,
DHN,Dhanbad,Maniyadih  ,PS,2,1900,Yes,Yes,RF-AIRTEL,,10-12-18,,Commissioned,,,
DHN,Dhanbad,Purwi Tundi,PS,2,1900,Yes,Yes,RF-AIRTEL,Bharatnet,26-11-18,,Commissioned,,,
DHN,Dhanbad,Barwada  ,PS,2,1900+800,Yes,Yes,LL/ 2 Mbps,,27-05-16,,Commissioned,,,
DHN,Dhanbad,Bankmore  ,PS,2,800,Yes,Yes,LL/ 2 Mbps,,28-05-16,0326-2300043,Commissioned,dhn_03262300249@jkd.cctns.in,10.17.150.93,
DHN,Dhanbad,Dhansar ,PS,2,800,Yes,Yes,LL/ 2 Mbps,,28-05-16,0326-2300271,Commissioned,dhn_3262291029@jkd.cctns.in,10.17.150.95,
DHN,Dhanbad,Saraidhela ,PS,2,800,Yes,Yes,LL/ 2 Mbps,,28-05-16,0326-2100085,Commissioned,dhn_3262200085@jkd.cctns.in ,10.17.150.91,
DHN,Dhanbad,Putki  ,PS,2,1900+800,Yes,Yes,LL/ 2 Mbps,,29-05-16,0326-2330060,Commissioned,dhn_3262330060@jkd.cctns.in,10.17.150.92,
DHN,Dhanbad,Katras  ,PS,2,800,Yes,Yes,LL/ 2 Mbps,,29-05-16,0326-2371022,Commissioned,dhn_3262371022@jkd.cctns.in,10.17.150.88,
DHN,Dhanbad,Jogta,PS,2,800,Yes,Yes,LL/ 2 Mbps,,29-05-16,0326-2375043,Commissioned,dhn_3262371045@jkd.cctns.in,10.17.150.87,
DHN,Dhanbad,Sindri  ,PS,2,1900+800,Yes,Yes,LL/ 2 Mbps,,29-05-16,,Commissioned,,,
DHN,Dhanbad,Jorapokhar  ,PS,2,1900,Yes,Yes,LL/ 2 Mbps,,30-05-16,,Commissioned,,,
DHN,Dhanbad,Patherdih  ,PS,2,800+1900,Yes,Yes,LL/ 2 Mbps,,06-01-16,0326-2385098,Commissioned,dhn_3262385098@jkd.cctns.in,10.17.150.94,
DHN,Dhanbad,Govindpur  ,PS,2,800,Yes,Yes,LL/ 2 Mbps,,06-01-16,06540-262049,Commissioned,dhn_6540262049@jkd.cctns.in,10.17.150.90,
DHN,Dhanbad,Kenduahidh ,PS,2,1900,Yes,Yes,LL/ 2 Mbps,,06-01-16,,Commissioned,,,
DHN,Dhanbad,SC/ST PS,PS,,,No,No,P2P/UTP,,6.3.2019,,Commissioned,,,
DHN,Dhanbad,Mahila Dhanbad,PS,,,No,No,P2P/UTP,,6.3.2019,,Commissioned,,,
DHN,Dhanbad,Cyber PS,PS,,,No,No,P2P/UTP,,,,Commissioned,,,
DMK,Dumka,AHTU,PS,,,No,No,P2P/UTP,,26.3.2019,,Commissioned,,,
DMK,Dumka,Dumka Nagar P.S. ,PS,1,1900,Yes,Yes,LL/ 2 Mbps,,19-01-13,06434-236148,Commissioned,dmk_tb_sb@jkd.cctns.in,10.17.150.20,
DMK,Dumka,Gopikander ,PS,2,1900,Yes,No,VPNODongal-JIO,,27.3.2019,,Commissioned,,,
DMK,Dumka,Hansdiha  ,PS,2,1900,No,Yes,VPNODongal-JIO,,18-05-13,06431-248024,Commissioned,id6431248024_vpn@jkd.cctns.in ,10.17.150.108,
DMK,Dumka,Jama ,PS,2,1900,No,Yes,VPNODongal-JIO,,09-03-13,06431-258809,Commissioned,id6431258809@jkd.cctns.in,10.17.150.107,
DMK,Dumka,Jarmundi  ,PS,2,1900,No,Yes,VPNODongal-JIO,,30-05-13,06431-230559,Commissioned,id6431230559_vpn@jkd.cctns.in ,10.17.150.106,
DMK,Dumka,Kathikund,PS,2,1900,Yes,No,RF-AIRTEL,,10-04-18,06427-228049,Commissioned,,,
DMK,Dumka,Mahila Dumka,PS,,,No,No,P2P/UTP,,,,Commissioned,,,
DMK,Dumka,Masalia ,PS,2,1900,Yes,Yes,LL/ 2 Mbps,VPNODongal-JIO,23-07-16,,Commissioned,,,
DMK,Dumka,Muffasil  ,PS,2,1900,Yes,Yes,LL/ 2 Mbps,,17-06-16,,Commissioned,,,
DMK,Dumka,Ramgarh  ,PS,2,1900,No,Yes,LL/ 2 Mbps,VPNODongal-JIO,26-08-16,,Commissioned,,,
DMK,Dumka,Raneshwar  ,PS,2,1900,Yes,No,RF-AIRTEL,,25-10-18,06434-268525,Commissioned,id6434268525_vpn@jkd.cctns.in,10.17.150.29,
DMK,Dumka,Saraiyahat  ,PS,2,1900,No,Yes,VPNODongal-JIO,,18-05-13,06431-260988,Commissioned,id6431260988_vpn@jkd.cctns.in ,10.17.150.101,
DMK,Dumka,SC/ST PS,PS,,,No,No,P2P/UTP,,28.3.2019,,Commissioned,,,
DMK,Dumka,Sikaripara,PS,2,1900,Yes,Yes,RF-AIRTEL,,25-10-18,,Commissioned,,,
DMK,Dumka,Taljhari  ,PS,2,1900,Yes,No,RF-AIRTEL,,28-11-18,,Commissioned,id6431229038_vpn@jkd.cctns.in ,10.11.88.244,
DMK,Dumka,Tongra  ,PS,2,1900,Yes,No,VPNODongal-JIO,,23.3.2019,,Commissioned,,,
DTJ,Garhwa,Danda,PS,2,1900,No,Yes,VPNODongal-JIO,,12.2.2019,,Commissioned,,,
DTJ,Garhwa,Kandi ,PS,2,1900,No,Yes,VPNODongal-JIO,,14.2.2019,,Commissioned,,,
DTJ,Garhwa,Garhwa Nagar P.S,PS,1,800,Yes,Yes,LL/ 2 Mbps,VPNODongal-JIO,29-12-12,06561-222072,Commissioned,gar_ds_th@jkd.cctns.in,10.11.88.67,
DTJ,Garhwa,Bhandaria  ,PS,2,1900,Yes,Yes,LL/ 2 Mbps,,18-06-13,06561-279114,Commissioned,id6561279114@jkd.cctns.in,10.11.88.178,
DTJ,Garhwa,Ranka ,PS,2,1900,Yes,Yes,LL/ 2 Mbps,VPNODongal-JIO,23-08-13,06561-254700,Commissioned,id6561254700_rnkph@jkd.cctns.in,10.11.88.183,
DTJ,Garhwa,Dhurki  ,PS,2,1900,No,Yes,RF-AIRTEL,VPNODongal-JIO,14.2.2019,,Commissioned,,,
DTJ,Garhwa,Ramkanda,PS,2,1900,No,Yes,VPNODongal-JIO,,18-06-13,,Commissioned,id6561279113@jkd.cctns.in,10.11.88.153,
DTJ,Garhwa,Dandai ,PS,2,1900,No,Yes,VPNODongal-JIO,,06-01-13,,Commissioned,id6561279111@jkd.cctns.in,10.11.88.151,
DTJ,Garhwa,Kharaundhi ,PS,2,1900,No,Yes,VPNODongal-JIO,,13.2.2019,,Commissioned,,,
DTJ,Garhwa,Ketar,PS,2,800,No,Yes,VPNODongal-JIO,,22.2.2019,,Commissioned,,,
DTJ,Garhwa,Bishunpura,PS,2,1900,No,No,RF-AIRTEL,VPNODongal-JIO,15.2.2019,,Commissioned,,,
DTJ,Garhwa,Bardiha,PS,2,800,No,No,VPNODongal-JIO,,13.2.2019,,Commissioned,,,
DTJ,Garhwa,Meral  ,PS,2,800,Yes,Yes,LL/ 2 Mbps,VPNODongal-JIO,14-06-16,,commissioned,,,
DTJ,Garhwa,Ramna ,PS,2,1900,Yes,Yes,RF-AIRTEL,VPNODongal-JIO,25-10-18,,commissioned,,,
DTJ,Garhwa,Nagar  Untari   ,PS,2,1900,Yes,Yes,LL/ 2 Mbps,VPNODongal-JIO,23-12-16,,Commissioned,,,
DTJ,Garhwa,Bhawnathpur     ,PS,2,1900,Yes,Yes,RF-AIRTEL,,26-11-18,,Commissioned,,,
DTJ,Garhwa,Manjhiaon ,PS,2,1900,Yes,Yes,RF-AIRTEL,VPNODongal-JIO,26-11-18,,Commissioned,,,
DTJ,Garhwa,Mahila Garhwa,PS,,,Na,No,P2P/UTP,VPNODongal-JIO,6.3.2019,,Commissioned,,,
